creator_id,creator_name,player_id,player_tag,country,country_iso2,twitter,youtube,twitch,tiktok,instagram
c001321,Henry Tran,18985,CURYLVQGG,France,FR,https://twitter.com/superhenrytran,https://www.youtube.com/channel/UC3DVTbnJNVFbDq1gVLVFdvw,https://www.twitch.tv/superhenrytran,,
c001322,Hike,21423,90P89GVQJ,United States,US,https://twitter.com/HikeTheGamer,https://www.youtube.com/channel/UCqkMn9bYQlhgzEjbktzEQpQ,https://www.twitch.tv/hikethegamer,,
c001324,Hova,21404,8299GCUV2,United States,US,https://twitter.com/YellingMadman,https://www.youtube.com/channel/UCAFtKYX7eQ6obTteYpb5aIQ,https://www.twitch.tv/imjahova,https://www.tiktok.com/@hovatik,
c001325,Ibai,17217,C9GJLPVUP,Spain,ES,https://twitter.com/IbaiLlanos,https://www.youtube.com/channel/UCaY_-ksFSQtTGk0y1HA_3YQ,https://www.twitch.tv/ibai,https://www.tiktok.com/@ibaillanos,
c001326,IlloJuan,21072,UCYCRVY0Y,Spain,ES,https://twitter.com/illojuan,https://www.youtube.com/channel/UCKvoBRFqMNqvuSvFBiNadgw,https://www.twitch.tv/illojuan,https://www.tiktok.com/@illojuan,
c001327,Inoxtag,17355,82VCQ0VY,France,FR,https://twitter.com/Inoxtag,https://www.youtube.com/channel/UCL9aTJb0ur4sovxcppAopEw,https://www.twitch.tv/inoxtag,https://www.tiktok.com/@inoxtag,
c001328,iRaphahell,20998,2QPU99222,Romania,RO,https://twitter.com/iRaphahell,https://www.youtube.com/channel/UCtn4sFXvAW1il1MKDja11YA,https://www.twitch.tv/raffahell,https://www.tiktok.com/@iraphahell,
c001331,Jelly,20997,28CQ9VL92,United Kingdom,UK,https://twitter.com/JeIIy,https://www.youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A,https://www.twitch.tv/jellyyt,https://www.tiktok.com/@jelly,
c001332,Jelty,17098,JRJUP98P,Mexico,MX,https://twitter.com/JeltyTV,https://www.youtube.com/channel/UC2IytmaMOPhP_s_2rUqlHuw,https://www.twitch.tv/jelty,,
c001334,Jirka Král,18128,9PYRJRJY,Czech Republic,CZ,https://twitter.com/JirkaKral,https://www.youtube.com/channel/UCCAHP3LeWVBvrMnV-Lu4FOQ,https://www.twitch.tv/newia,,
c001336,JorgeIsaac115,17485,2Y00JRPRC,Ecuador,EC,https://twitter.com/JorgeIsaac115,https://www.youtube.com/channel/UCDp-aWLlOZUWwtG4c1maZKQ,https://www.twitch.tv/JorgeIsaac115,https://www.tiktok.com/@jorgeisaac115,
c001338,Joyca,18983,CVJJCRLUL,France,FR,https://twitter.com/JoycaOff,https://www.youtube.com/channel/UCow2IGnug1l3Xazkrc5jM_Q,https://www.twitch.tv/joyca,,
c001340,Juan S Guarnizo,17482,C2U2U0R2J,Colombia,CO,https://twitter.com/JuanSGuarnizo,https://www.youtube.com/channel/UCdvyCPDTkkfd4MwqD7ZkGgg,https://www.twitch.tv/juansguarnizo,https://www.tiktok.com/@juaniquilador,
c001341,Juanito Say,21421,889QCGL88,Argentina,AR,https://twitter.com/JuanitoSay,https://www.youtube.com/channel/UCuWeBHxVe6C69JTBpiY-Y8Q,https://www.twitch.tv/juanitosay,,
c001343,Jvnq,21414,YV8JPLL2J,Brazil,BR,https://twitter.com/Jvnq,https://www.youtube.com/channel/UCZDVr0SsuSUYiq9hAOfoIfw,https://www.twitch.tv/jvnq,,
c001344,Kameto,5481,CVC989CC2,France,FR,https://twitter.com/Kammeto,https://www.youtube.com/channel/UC-bQgl7oy_rEk05rNWYXafA,https://www.twitch.tv/kamet0,https://www.tiktok.com/@kametotv,
c001347,Kiko Rivera,21422,9VLJ089RU,Spain,ES,https://twitter.com/riverakiko,https://www.youtube.com/channel/UC_t0lbcvbiCZQCEK7ud3Gsg,https://www.twitch.tv/kikorivera,,
c001349,KManuS88,1779,LJVC88JU,Argentina,AR,https://twitter.com/KmanuS88,https://www.youtube.com/channel/UC0Ym7ckYtSsgcbZX1VvYMQQ,https://www.twitch.tv/kmanu88,https://www.tiktok.com/@kmanus88,https://www.instagram.com/kmanus88/
c001352,Komanche,17486,CCQGQVJGL,El Salvador,SV,https://twitter.com/Komanch,https://www.youtube.com/channel/UCGiBtrfxFhhSYL4nPBGCNaA,https://www.twitch.tv/komanche,https://www.tiktok.com/@komanchee,
c001356,Late,20987,J8GVGP0LP,United States,US,https://twitter.com/late_cod,https://www.youtube.com/channel/UC73AugPHBoFmdt3Dwz50iZw,https://www.twitch.tv/latesitoo,https://www.tiktok.com/@latesitoo,
c001357,LauGamer,20958,LRPL0QRQ,Colombia,CO,https://twitter.com/LauGamerCO,https://www.youtube.com/channel/UCcleuHC-QFGh2lDW2LDSA3g,https://www.twitch.tv/laugamerco,https://www.tiktok.com/@laugamerco,
c001361,LlegaVideos,21399,2JVCP2L0,Spain,ES,https://twitter.com/LlegaVideos,https://www.youtube.com/channel/UCjCEchPY-JT1INsZ_v-f-mA,,,
c001362,Llobe,18986,Q989VCCPG,Spain,ES,https://twitter.com/llobeti4,https://www.youtube.com/channel/UC8tjND0LE7QwVbFs_X8Hy5w,https://www.twitch.tv/llobeti4,,
c001363,Locochon,17479,PVGPGRCVG,Peru,PE,https://twitter.com/locochoncin,https://www.youtube.com/channel/UC7xwxKzx_5BtRxFJr-M_GWg,https://www.twitch.tv/lLocochon,https://www.tiktok.com/@llocochonn,
c001365,Lord Enzel,21508,2LJY2U9PG,Turkey,TR,,https://www.youtube.com/channel/UC4AMe7Hws1keJLAIKLKAkmg,,,https://www.instagram.com/clickbaittanrisi/
c001366,Lu Bu,866,PJCUC2R0,India,IN,https://twitter.com/LonewolfMrin,https://www.youtube.com/channel/UCOjgTuou4IgCyupXtFhB0eQ,,,
c001367,Lucas Cordeiro,21437,2UPLJGPR8,Canada,CA,https://twitter.com/lucasdscordeiro,https://www.youtube.com/channel/UCRrqdOG8U12WecJpW2orGrA,,,
c001368,Lunaria,20986,CCQJL9PGL,Chile,CL,https://twitter.com/LunariaAyaren,https://www.youtube.com/channel/UCeYJM8wsI4oGzc5veQDbVwg,https://www.twitch.tv/Lunaria,https://www.tiktok.com/@lunariaayaren,
c001370,Machika,18899,900VGQC2,Mexico,MX,https://twitter.com/MachikaYT,https://www.youtube.com/channel/UCuKP9Gq9YqHamBvyprfrKkw,https://www.twitch.tv/machika,https://www.tiktok.com/@machikayt,
