season_id,season_code,season_index,rank,player_name,player_tag,score,player_level,clan_name,clan_tag
103,2023-04,99,99,Jose,GRGPPL2L,2916,50,#FC Esports,LQJ9JJRL
103,2023-04,100,100,ZigZag01,2U2GUUQ9,2914,50,,
103,2023-04,101,101,KodiWolf,22Q8LLU8J,2913,50,Vengeance,PQRUQJ
103,2023-04,102,102,Beans on Toast,JJCJR2P,2912,46,YT: Eragon CR,GRYV0UJ9
103,2023-04,103,103,༺RaiyanGG༻,2VRCRU28,2912,50,HELL’S LEGION,QJPC22GQ
103,2023-04,104,104,!¡osama™️!¡,CPGRQ8VQV,2911,50,Veterans™️,GY2LPCQQ
103,2023-04,105,105,RemiEli,2JRLG8PUQ,2911,50,YT : RemiEli FR,Q8QL88JR
103,2023-04,106,106,✨❤EnRiQuE❤✨,CRVVP2RP0,2910,50,Dame de Trêfle,YGP9P2Y0
103,2023-04,107,107,ピスタチオ坊や,RQLY9LJ8,2909,50,ぴす,Q98RVQVJ
103,2023-04,108,108,TLG Boozer✨,QV9YQ2JL,2905,50,Fierce Force,QC8R0888
103,2023-04,109,109,batan,9RG0VPUVY,2900,50,Nova I Aryayi,9CCJ2R02
103,2023-04,110,110,TheAdventurist,UYRGLYYU,2897,48,Starfall,Q20Y9QCY
103,2023-04,111,111,Venus,JG82RJCR2,2894,45,,
103,2023-04,112,112,ぐりてゃん,2LJ0ULYCC,2893,50,,
103,2023-04,113,113,えぐみざわたけし(41),LQV0RJVCU,2890,42,夏眠,QPUUL00Y
103,2023-04,114,114,☻☻☻☻☻M♡S☻☻☻☻☻,QG2JLC9C9,2886,45,Primus.cz,8JPV282C
103,2023-04,115,115,门神soloman,C0RJC20CY,2881,50,世界第一家驹,LCYRYGU2
103,2023-04,116,116,︻デ═一Mosalah11,GJ9QRQV2,2880,50,Mystic Esports™,Q8QCUC9Y
103,2023-04,117,117,おいもたそ,80QY9UCUJ,2875,49,A⭐️NESTARS,GV89CV8Y
103,2023-04,118,118,batan,9RQ8YRYQL,2872,50,Fierce Force,QC8R0888
103,2023-04,119,119,iPhone,8L020JLR0,2872,50,사이좋은삼형제,GJY90JG9
103,2023-04,120,120,zacatecas,88V099RCP,2870,50,Fierce Force,QC8R0888
